target_path,original_path,source_repository,source_branch_or_ref,source_commit_sha,source_document_date,first_relevant_commit_date,latest_relevant_commit_date,window_history,source_state,document_category,inclusion_reason,source_sha256,copied_sha256,copy_scope,redaction_required
docs/history/2026-06-30_to_2026-07-24/german-law-hat/KNOWLEDGE_HAT_INTEGRATION_MAP.md,docs/KNOWLEDGE_HAT_INTEGRATION_MAP.md,/home/l/AOIA_PRODUCTION/repos/AOIA-Core,origin/demo/knowledge-hat-bridge-german-law-v2-1a,708fe063b3d81f1d61ca2cc7787f94550d52fbd0,2026-07-23T18:26:27+02:00,2026-07-23T18:26:27+02:00,2026-07-23T18:26:27+02:00,Created during hackathon window,Committed,A — Directly relevant,"Direct Knowledge HAT integration map for the German Federal Law adapter, external corpus binding, evidence schema and offline acceptance prompt.",9bd7801b16c5731038fbfadd497dbbf85df137bbdd83ea88a95d6fb5acff024a,9bd7801b16c5731038fbfadd497dbbf85df137bbdd83ea88a95d6fb5acff024a,Complete,No
docs/history/2026-06-30_to_2026-07-24/ingestion-and-provenance/unix-corpus-ingestion-1b/approved_source_inventory.json,data/unix_corpus_ingestion_1b/approved_source_inventory.json,/home/l/AOIA_PRODUCTION/repos/AOIA-Core,feature/m2-b0-provider-critic-inert-core,b7a3a1481ce382e516ed0d39e5ac334f3240c727,2026-07-15T03:59:22+02:00,2026-07-15T03:59:22+02:00,2026-07-15T03:59:22+02:00,Created during hackathon window,Committed,A — Directly relevant,Approved-source inventory for the bounded UNIX knowledge corpus.,41b08f373d646b4bcccb5bcf660827c4bb4c20e8d24fb0688df73f708fc5b224,41b08f373d646b4bcccb5bcf660827c4bb4c20e8d24fb0688df73f708fc5b224,Complete,No
docs/history/2026-06-30_to_2026-07-24/ingestion-and-provenance/unix-corpus-ingestion-1b/ingestion_state.json,data/unix_corpus_ingestion_1b/ingestion_state.json,/home/l/AOIA_PRODUCTION/repos/AOIA-Core,feature/m2-b0-provider-critic-inert-core,b7a3a1481ce382e516ed0d39e5ac334f3240c727,2026-07-15T03:59:22+02:00,2026-07-15T03:59:22+02:00,2026-07-15T03:59:22+02:00,Created during hackathon window,Committed,A — Directly relevant,Deterministic ingestion state and content-addressed corpus identity.,30359fe6d6af7e99fc08fb836824f61a7019001eb41819074342509dfa7f816a,30359fe6d6af7e99fc08fb836824f61a7019001eb41819074342509dfa7f816a,Complete,No
docs/history/2026-06-30_to_2026-07-24/ingestion-and-provenance/unix-corpus-ingestion-1b/intake/corpus_manifest.json,data/unix_corpus_ingestion_1b/intake/corpus_manifest.json,/home/l/AOIA_PRODUCTION/repos/AOIA-Core,feature/m2-b0-provider-critic-inert-core,b7a3a1481ce382e516ed0d39e5ac334f3240c727,2026-07-15T03:59:22+02:00,2026-07-15T03:59:22+02:00,2026-07-15T03:59:22+02:00,Created during hackathon window,Committed,A — Directly relevant,"Corpus manifest recording accepted sources, records and quarantine state.",12dac977e0e4fc540cb2b21133a20782d5a6f772ceabf7c160e014df93f7ed49,12dac977e0e4fc540cb2b21133a20782d5a6f772ceabf7c160e014df93f7ed49,Complete,No
docs/history/2026-06-30_to_2026-07-24/ingestion-and-provenance/unix-corpus-ingestion-1b/materialization_plan.json,data/unix_corpus_ingestion_1b/materialization_plan.json,/home/l/AOIA_PRODUCTION/repos/AOIA-Core,feature/m2-b0-provider-critic-inert-core,b7a3a1481ce382e516ed0d39e5ac334f3240c727,2026-07-15T03:59:22+02:00,2026-07-15T03:59:22+02:00,2026-07-15T03:59:22+02:00,Created during hackathon window,Committed,A — Directly relevant,"Knowledge-corpus materialization plan, limits, selected source and replay policy.",150de94a1c5e94b417d8d9aa1d6a00d9126ab618024c364ddcb6aadac8e96fbb,150de94a1c5e94b417d8d9aa1d6a00d9126ab618024c364ddcb6aadac8e96fbb,Complete,No
docs/history/2026-06-30_to_2026-07-24/ingestion-and-provenance/unix-corpus-ingestion-1b/source_inventory.json,data/unix_corpus_ingestion_1b/source_inventory.json,/home/l/AOIA_PRODUCTION/repos/AOIA-Core,feature/m2-b0-provider-critic-inert-core,b7a3a1481ce382e516ed0d39e5ac334f3240c727,2026-07-15T03:59:22+02:00,2026-07-15T03:59:22+02:00,2026-07-15T03:59:22+02:00,Created during hackathon window,Committed,A — Directly relevant,"Source discovery inventory with classifications, hashes and duplicate groups; metadata only, not source corpus content.",16804da968658b8abf7f96cda153038d0bb743f2a6763b4f7e2b7c3494c7a370,16804da968658b8abf7f96cda153038d0bb743f2a6763b4f7e2b7c3494c7a370,Complete,No
docs/history/2026-06-30_to_2026-07-24/ingestion-and-provenance/unix-corpus-ingestion-1b/validation_report.json,data/unix_corpus_ingestion_1b/validation_report.json,/home/l/AOIA_PRODUCTION/repos/AOIA-Core,feature/m2-b0-provider-critic-inert-core,b7a3a1481ce382e516ed0d39e5ac334f3240c727,2026-07-15T03:59:22+02:00,2026-07-15T03:59:22+02:00,2026-07-15T03:59:22+02:00,Created during hackathon window,Committed,A — Directly relevant,"Knowledge ingestion validation report covering deduplication, replay and provenance.",f1f1f44ad20f163808149b547befd11ceb92f42528a9a08617538ea622a23ac3,f1f1f44ad20f163808149b547befd11ceb92f42528a9a08617538ea622a23ac3,Complete,No
docs/history/2026-06-30_to_2026-07-24/memory-and-retrieval/PROVIDER_INDEPENDENT_KNOWLEDGE_CONTEXT_BRIDGE_1A.md,reports/PROVIDER_INDEPENDENT_KNOWLEDGE_CONTEXT_BRIDGE_1A.md,/home/l/AOIA_PRODUCTION/repos/AOIA-Core,feature/knowledge-provider-bridge-1a,33dfeb52263a50e23aa7edabdaab1fc47e60c9b9,2026-07-20T10:12:25+02:00,2026-07-20T10:12:25+02:00,2026-07-20T10:12:25+02:00,Created during hackathon window,Committed,A — Directly relevant,"Direct Knowledge Chat context-bridge report covering immutable evidence, citations, provenance, provider independence and authority limits.",1e8126718152b34d6856c6885e2b0d2dcee9a1b5b7fe8cb5ab7a449b0ad1651b,1e8126718152b34d6856c6885e2b0d2dcee9a1b5b7fe8cb5ab7a449b0ad1651b,Complete,No
docs/history/2026-06-30_to_2026-07-24/memory-and-retrieval/unix-full-validation-freeze-1a-r1/adversarial_report.json,data/unix_full_validation_freeze_1a_r1/adversarial_report.json,/home/l/AOIA_PRODUCTION/repos/AOIA-Core,feature/m2-b0-provider-critic-inert-core,b7a3a1481ce382e516ed0d39e5ac334f3240c727,2026-07-15T03:59:22+02:00,2026-07-15T03:59:22+02:00,2026-07-15T03:59:22+02:00,Created during hackathon window,Committed,A — Directly relevant,"Canonical r1 adversarial report for corpus, routing, tampering and authority boundaries.",496fd503ed0655955fb06986ba1fbde930a5d18a6f639e1d7a786a5c32253609,496fd503ed0655955fb06986ba1fbde930a5d18a6f639e1d7a786a5c32253609,Complete,No
docs/history/2026-06-30_to_2026-07-24/memory-and-retrieval/unix-full-validation-freeze-1a-r1/benchmark.json,data/unix_full_validation_freeze_1a_r1/benchmark.json,/home/l/AOIA_PRODUCTION/repos/AOIA-Core,feature/m2-b0-provider-critic-inert-core,b7a3a1481ce382e516ed0d39e5ac334f3240c727,2026-07-15T03:59:22+02:00,2026-07-15T03:59:22+02:00,2026-07-15T03:59:22+02:00,Created during hackathon window,Committed,A — Directly relevant,Canonical r1 full knowledge-unit benchmark.,e0e499c3919ce96f8bd0e78b4877b857baa2afd7f0667dbaa80fd56f09a50943,e0e499c3919ce96f8bd0e78b4877b857baa2afd7f0667dbaa80fd56f09a50943,Complete,No
